game,subject,session,plv_method,n_trials,n_left_trials,n_right_trials,n_hit,n_wrong_paddle,n_timeout_close_strong,n_timeout_close_weak,n_timeout_wrong,n_close_strong_early,n_close_weak_early,n_wrong_early,n_timed_out,n_timed_out_close_strong,n_timed_out_close_weak,n_timed_out_wrong,hit_rate,broad_acc,liberal_acc,hit_rate_left,hit_rate_right,broad_acc_left,broad_acc_right,liberal_acc_left,liberal_acc_right,mean_dist_final,mean_dist_trajectory,mean_min_dist,mean_frac_correct_side,mean_reversals,mean_reversals_wrong,mean_reversals_correct,mean_peak_excursion,mean_dist_final_left,mean_dist_final_right,mean_frac_correct_left,mean_frac_correct_right,mean_reaction_s,median_reaction_s,n_no_reaction,mean_trial_duration_s,mean_hit_duration_s,n_fighting,frac_fighting,n_fighting_timeout,n_fighting_wrong_paddle
graph_neurofeedback,Subject_002,Session_003,imcoh,100,50,50,59,27,5,6,3,0,0,0,19,5,6,3,0.59,0.64,0.7,0.52,0.66,0.56,0.72,0.64,0.76,224.74,322.63435816932264,121.18,0.5791716331911213,13.35,6.44,6.91,234.16,256.16,193.32,0.5336474236970732,0.6246958426851696,0.7146341463414634,0.0,18,6.358666666666667,5.882485875706215,14,0.14,9,8
graph_neurofeedback,Subject_003,Session_003,imcoh,80,40,40,39,23,0,1,4,2,7,4,8,0,1,4,0.4875,0.4875,0.5,0.525,0.45,0.525,0.45,0.55,0.45,276.05,316.74113346586745,130.7,0.5917500979222936,19.75,8.575,11.175,224.55,246.15,305.95,0.5011919403517017,0.6823082554928857,1.0323671497584541,0.03333333333333333,11,6.48625,5.270085470085472,13,0.1625,4,7
graph_neurofeedback,Subject_009,Session_001,imcoh,20,10,10,11,6,1,0,1,0,0,1,2,1,0,1,0.55,0.6,0.6,0.4,0.7,0.5,0.7,0.5,0.7,261.0,316.68695365213466,145.3,0.5682684366026394,13.7,5.3,8.4,210.2,288.0,234.0,0.5444929173708885,0.59204395583439,0.33095238095238094,0.016666666666666666,6,5.371666666666668,4.454545454545454,1,0.05,0,1
graph_neurofeedback,Subject_011,Session_001,imcoh,100,50,50,37,28,5,18,11,0,0,1,41,5,18,11,0.37,0.42,0.6,0.38,0.36,0.42,0.42,0.6,0.6,300.6,338.7400963083194,144.6,0.5450719802144018,14.82,6.42,8.4,210.62,280.28,320.92,0.5655157364620468,0.524628223966757,0.9670454545454547,0.0,12,7.615833333333334,5.869369369369369,11,0.11,9,5
graph_neurofeedback,Subject_012,Session_001,imcoh,100,50,50,43,37,3,1,3,1,2,10,9,3,1,3,0.43,0.46,0.47,0.42,0.44,0.46,0.46,0.46,0.48,326.78,328.5739145882506,143.86,0.5717224521936377,18.97,9.0,9.97,211.32,338.32,315.24,0.5162325920041505,0.6272123123831251,0.5562962962962963,0.0,10,6.424999999999999,4.8565891472868215,19,0.19,2,12
graph_neurofeedback,Subject_013,Session_001,imcoh,100,50,50,53,24,3,1,1,3,12,3,5,3,1,1,0.53,0.56,0.57,0.5,0.56,0.52,0.6,0.54,0.6,234.12,305.2208511741785,110.98,0.6292903087769021,21.97,10.61,11.36,244.18,223.48,244.76,0.6253222899231661,0.6332583276306384,0.7065934065934065,0.0,9,6.4985,5.028930817610062,19,0.19,1,9
graph_neurofeedback,Subject_014,Session_001,imcoh,100,50,50,35,28,7,18,12,0,0,0,47,7,18,12,0.35,0.42,0.6,0.36,0.34,0.44,0.4,0.66,0.54,304.56,333.6684891772682,142.88,0.5507013229654385,17.78,8.62,9.16,212.26,266.04,343.08,0.5693378734410635,0.5320647724898134,0.8865942028985507,0.0,8,7.670666666666667,5.600952380952381,17,0.17,14,9
