trial_id,label,label_name,hit,timed_out,outcome,fighting,final_x,dist_final,mean_dist,min_dist,frac_correct_side,n_reversals,n_reversals_wrong,n_reversals_correct,peak_excursion,n_frames,trial_duration_s,reaction_frames,reaction_s,game,subject,session
15,1,RIGHT,True,False,hit,False,740.0,30.0,288.54696132596683,30.0,0.712707182320442,4,2,2,340.0,362,6.033333333333333,0.0,0.0,csp,Subject_002,Session_004
16,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
17,1,RIGHT,True,False,hit,False,740.0,30.0,205.1946902654867,30.0,1.0,2,0,2,340.0,226,3.7666666666666666,0.0,0.0,csp,Subject_002,Session_004
18,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,475.27027027027026,340.0,0.0,4,4,0,0.0,222,3.7,,,csp,Subject_002,Session_004
19,0,LEFT,False,True,timeout_close_weak,False,364.0,304.0,427.3920265780731,288.0,0.09800664451827243,12,10,2,52.0,602,10.033333333333333,472.0,7.866666666666666,csp,Subject_002,Session_004
20,1,RIGHT,False,True,timeout_wrong,False,292.0,478.0,385.265780730897,244.0,0.420265780730897,12,3,9,126.0,602,10.033333333333333,80.0,1.3333333333333333,csp,Subject_002,Session_004
21,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
22,0,LEFT,True,False,hit,False,60.0,0.0,169.0,0.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,csp,Subject_002,Session_004
23,0,LEFT,False,True,timeout_close_weak,False,246.0,186.0,427.89683860232947,186.0,0.17637271214642264,9,8,1,154.0,601,10.016666666666667,182.0,3.033333333333333,csp,Subject_002,Session_004
24,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
25,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
26,0,LEFT,True,False,hit,False,60.0,0.0,214.08771929824562,0.0,0.8333333333333334,3,1,2,340.0,228,3.8,38.0,0.6333333333333333,csp,Subject_002,Session_004
27,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
28,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,527.9357798165138,372.0,0.0,4,4,0,0.0,218,3.6333333333333333,,,csp,Subject_002,Session_004
29,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
30,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
31,0,LEFT,True,False,hit,False,60.0,0.0,169.0,0.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,csp,Subject_002,Session_004
32,0,LEFT,True,False,hit,False,60.0,0.0,169.0,0.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,csp,Subject_002,Session_004
33,0,LEFT,False,True,timeout_wrong,False,428.0,368.0,412.14,228.0,0.275,6,3,3,112.0,600,10.0,0.0,0.0,csp,Subject_002,Session_004
34,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
35,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,323.46153846153845,56.0,0.6174089068825911,7,2,5,284.0,494,8.233333333333333,0.0,0.0,csp,Subject_002,Session_004
36,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,484.05309734513276,288.0,0.11283185840707964,11,10,1,52.0,452,7.533333333333333,0.0,0.0,csp,Subject_002,Session_004
37,0,LEFT,True,False,hit,False,60.0,0.0,215.75177304964538,0.0,0.9219858156028369,3,1,2,340.0,282,4.7,22.0,0.36666666666666664,csp,Subject_002,Session_004
38,0,LEFT,True,False,hit,False,60.0,0.0,346.1510204081633,0.0,0.3551020408163265,7,5,2,340.0,490,8.166666666666666,316.0,5.266666666666667,csp,Subject_002,Session_004
39,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,541.0,372.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
40,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,509.735632183908,342.0,0.0,2,2,0,0.0,174,2.9,,,csp,Subject_002,Session_004
41,0,LEFT,True,False,hit,False,60.0,0.0,304.9382239382239,0.0,0.5501930501930502,7,2,5,340.0,518,8.633333333333333,54.0,0.9,csp,Subject_002,Session_004
42,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,427.4974093264249,258.0,0.22538860103626943,4,1,3,82.0,386,6.433333333333334,128.0,2.1333333333333333,csp,Subject_002,Session_004
43,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,391.46783625730995,190.0,0.49707602339181284,5,1,4,150.0,342,5.7,0.0,0.0,csp,Subject_002,Session_004
44,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,511.0,342.0,0.0,0,0,0,0.0,170,2.8333333333333335,,,csp,Subject_002,Session_004
45,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,561.3007518796992,372.0,0.0,8,8,0,0.0,266,4.433333333333334,,,csp,Subject_002,Session_004
46,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,496.79057591623035,272.0,0.25392670157068065,7,6,1,98.0,382,6.366666666666666,0.0,0.0,csp,Subject_002,Session_004
47,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,388.63706563706563,130.0,0.5733590733590733,7,4,3,240.0,518,8.633333333333333,0.0,0.0,csp,Subject_002,Session_004
48,1,RIGHT,False,True,wrong_paddle,False,182.0,588.0,497.3565505804312,316.0,0.087893864013267,14,13,1,54.0,603,10.05,16.0,0.26666666666666666,csp,Subject_002,Session_004
49,1,RIGHT,False,False,wrong_paddle,False,60.0,710.0,574.5593220338983,372.0,0.0,2,2,0,0.0,236,3.933333333333333,,,csp,Subject_002,Session_004
50,1,RIGHT,True,False,hit,False,740.0,30.0,241.55421686746988,30.0,0.9397590361445783,3,1,2,340.0,332,5.533333333333333,20.0,0.3333333333333333,csp,Subject_002,Session_004
51,1,RIGHT,False,True,timeout_close_weak,False,560.0,210.0,224.08970099667775,50.0,0.9285714285714286,4,1,3,320.0,602,10.033333333333333,0.0,0.0,csp,Subject_002,Session_004
52,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,424.65934065934067,252.0,0.23901098901098902,2,1,1,88.0,364,6.066666666666666,106.0,1.7666666666666666,csp,Subject_002,Session_004
53,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,csp,Subject_002,Session_004
54,0,LEFT,False,False,wrong_paddle,False,740.0,680.0,543.7659574468086,342.0,0.0,4,4,0,0.0,282,4.7,,,csp,Subject_002,Session_004
