trial_id,label,label_name,hit,timed_out,outcome,fighting,final_x,dist_final,mean_dist,min_dist,frac_correct_side,n_reversals,n_reversals_wrong,n_reversals_correct,peak_excursion,n_frames,trial_duration_s,reaction_frames,reaction_s,game,subject,session
106,0,LEFT,True,False,hit,False,60.0,0.0,180.79166666666666,0.0,1.0,6,0,6,340.0,192,3.2,0.0,0.0,neurofeedback,Subject_000,Session_005
107,0,LEFT,True,False,hit,False,60.0,0.0,289.375,0.0,0.6272321428571429,36,5,31,340.0,448,7.466666666666667,0.0,0.0,neurofeedback,Subject_000,Session_005
108,1,RIGHT,True,False,hit,False,740.0,30.0,314.25118483412325,30.0,0.5379146919431279,21,14,7,340.0,422,7.033333333333333,60.0,1.0,neurofeedback,Subject_000,Session_005
109,1,RIGHT,True,False,hit,False,740.0,30.0,227.84684684684686,30.0,1.0,8,0,8,340.0,222,3.7,0.0,0.0,neurofeedback,Subject_000,Session_005
110,1,RIGHT,True,False,hit,False,740.0,30.0,199.0,30.0,1.0,0,0,0,340.0,170,2.8333333333333335,0.0,0.0,neurofeedback,Subject_000,Session_005
111,0,LEFT,True,False,hit,False,60.0,0.0,272.69934640522877,0.0,0.5555555555555556,19,19,0,340.0,306,5.1,136.0,2.2666666666666666,neurofeedback,Subject_000,Session_005
112,0,LEFT,True,False,hit,False,60.0,0.0,207.08620689655172,0.0,1.0,16,0,16,340.0,232,3.8666666666666667,0.0,0.0,neurofeedback,Subject_000,Session_005
113,1,RIGHT,True,False,hit,False,740.0,30.0,319.5405405405405,30.0,0.4594594594594595,29,29,0,340.0,370,6.166666666666667,200.0,3.3333333333333335,neurofeedback,Subject_000,Session_005
114,0,LEFT,True,False,hit,False,60.0,0.0,223.76923076923077,0.0,0.7350427350427351,3,1,2,340.0,234,3.9,62.0,1.0333333333333334,neurofeedback,Subject_000,Session_005
115,1,RIGHT,True,False,hit,False,740.0,30.0,270.408,30.0,0.68,11,7,4,340.0,500,8.333333333333334,160.0,2.6666666666666665,neurofeedback,Subject_000,Session_005
116,0,LEFT,True,False,hit,False,60.0,0.0,220.2093023255814,0.0,0.7131782945736435,7,5,2,340.0,258,4.3,74.0,1.2333333333333334,neurofeedback,Subject_000,Session_005
