game,subject,session,n_trials,p_move_empirical,p_move_chance,p_hold,chance_hit_rate,chance_hit_rate_lo,chance_hit_rate_hi,chance_broad_acc,chance_broad_acc_lo,chance_broad_acc_hi,chance_liberal_acc,chance_liberal_acc_lo,chance_liberal_acc_hi,chance_frac_correct_side,chance_frac_correct_side_lo,chance_frac_correct_side_hi,chance_mean_dist_final,chance_mean_dist_final_lo,chance_mean_dist_final_hi,chance_mean_min_dist,chance_mean_min_dist_lo,chance_mean_min_dist_hi
csp,Subject_002,Session_002,100,0.976372039283651,0.976372039283651,0.02362796071634893,0.0,0.0,0.0,4e-06,0.0,1e-05,0.48417200000000005,0.48280555,0.48551030000000006,0.4692151842860162,0.4682469048243098,0.47019257889351895,355.01423600000004,354.9401586,355.0865105,335.23604399999994,335.1932775,335.2802232
csp,Subject_003,Session_002,100,0.9921137950170869,0.9921137950170869,0.007886204982913222,0.0,0.0,0.0,3.4e-05,1.8e-05,5e-05,0.48928,0.48774795,0.4907482000000001,0.47786253381264143,0.4769207364316081,0.478818025987997,354.96545599999996,354.8652313,355.0690054,327.08564399999995,327.02201800000006,327.1488146
csp,Subject_005,Session_002,100,0.9896774554508071,0.9896774554508071,0.010322544549192939,0.0,0.0,0.0,4e-05,2.2e-05,5.6000000000000006e-05,0.4880880000000001,0.48678564999999996,0.4895001,0.47653722298119994,0.47557262106694626,0.4774752288740857,355.067336,354.9666266,355.1681154,326.7081,326.6440545,326.7683083
csp,Subject_006,Session_002,100,0.9919596650600804,0.9919596650600804,0.008040334939919597,0.0,0.0,0.0,8e-05,5.6000000000000006e-05,0.000106,0.491962,0.4904498,0.49328204999999997,0.4811073773742954,0.4801611308566645,0.4820764629286337,354.85526,354.73169500000006,354.97324840000005,322.72720400000003,322.65385610000004,322.7994311
csp,Subject_006,Session_003,100,0.9877393580382973,0.9877393580382973,0.012260641961702713,0.0,0.0,0.0,1e-05,2e-06,2e-05,0.486608,0.48534585000000013,0.4879661,0.47450112625200724,0.4735256625312117,0.4754602092311303,354.984496,354.89503970000004,355.0753242,329.753012,329.6954187,329.8098057
graph_ml,Subject_002,Session_002,100,0.6099578419339345,0.6099578419339345,0.3900421580660654,0.0,0.0,0.0,0.0,0.0,0.0,0.48640200000000006,0.48494400000000004,0.4877716000000001,0.47178511802667,0.47082903875388843,0.47272457338192975,355.000504,354.9182433,355.0858998,332.47166,332.4219652,332.5232093
graph_ml,Subject_003,Session_002,100,0.9930559181329296,0.9930559181329296,0.006944081867070433,0.0,0.0,0.0,2.6000000000000002e-05,1.4000000000000001e-05,4e-05,0.48849400000000004,0.48717535,0.4897841499999999,0.47825491420719773,0.47732393610095614,0.479222059626477,355.050408,354.9416224000001,355.16108599999995,325.480776,325.4156825,325.54101160000005
graph_ml,Subject_003,Session_003,100,0.9516772572779666,0.9516772572779666,0.0483227427220334,0.0,0.0,0.0,4.6e-05,2.8000000000000003e-05,6.599999999999999e-05,0.488616,0.4873078,0.4900164,0.4776966074179841,0.47674980722744587,0.47862409964364194,354.966596,354.8514865,355.077653,325.37284,325.3096936,325.4368854
graph_ml,Subject_005,Session_002,100,0.964326592903472,0.964326592903472,0.03567340709652804,0.0,0.0,0.0,5.4000000000000005e-05,3.4e-05,7.6e-05,0.489188,0.4877818500000001,0.4906264,0.47908671234493067,0.47812758003024725,0.4800455266709677,355.01052400000003,354.90384320000004,355.12449780000003,324.57134,324.50334169999996,324.6405736
graph_ml,Subject_006,Session_002,100,0.990494682892687,0.990494682892687,0.009505317107312998,0.0,0.0,0.0,4.2000000000000004e-05,2.6000000000000002e-05,6.2e-05,0.48857800000000007,0.48716975000000007,0.4899759999999999,0.47904873420303595,0.47808160394928184,0.480077732633684,355.04905999999994,354.9375008,355.1625297,323.215348,323.15004049999993,323.2835362
